Grouted Masonry Strength ,Aspect Ratio,Axial Load Ratio,Wall Slenderness Ratio,Vertical Reinforcement Ratio,Horizontal Reinforcement Ratio,Shear Stress Demand,Displacement
16.5,1.17,16.7,9.36,0.44,0.39,0.57,5
16.5,1.17,16.7,9.36,0.44,0.2,0.52,6
18,0.9,10.9,9.47,0.26,0.17,0.71,2
18,1.51,10.9,9.47,0.26,0.17,0.48,4
22.9,2.28,8.6,9.47,0.26,0.17,0.41,14
18,1.51,21.9,9.47,0.26,0.17,0.6,5
22.9,1.51,25.7,9.47,0.26,0.17,0.54,5
22.9,1.51,2.1,9.47,0.26,0.17,0.33,13
22.9,1.51,2.1,9.47,0.26,0.09,0.35,21
21.5,1.51,2.3,9.47,0.26,0.17,0.34,16
21.5,1.51,2.3,9.47,0.26,0.17,0.36,19
21.5,1.51,2.3,9.47,0.26,0.17,0.34,20
21.5,1.51,2.3,9.47,0.26,0.09,0.32,20
26.8,0.9,7.3,9.47,0.35,0.17,0.59,4
25.2,1.56,7.8,8.95,0.35,0.17,0.46,7
21.4,2.28,9.2,9.47,0.35,0.17,0.42,7
26.3,1.56,1.9,8.95,0.35,0.17,0.33,8
24.6,1.43,2,8.95,0.35,0.09,0.34,11
24.6,1.51,8,9.47,0.26,0.17,0.52,7
24.6,1.51,8,9.47,0.26,0.09,0.74,9
24.6,1.51,2,9.47,0.26,0.17,0.46,12
20,1,6.9,12.8,0.38,0.24,0.28,30
20,1,9.3,12.8,0.38,0.24,0.3,26
20.7,1,9,12.8,0.74,0.14,0.35,31
17.9,1,0,12.8,0.74,0.14,0.27,20
17.9,1,3.8,12.8,0.74,0.14,0.32,15
17.9,1,0,12.8,0.38,0.14,0.18,44
20.7,1,3.3,12.8,0.74,0.14,0.34,15
20.7,1,0,12.8,0.38,0.24,0.17,29
20.7,1,9,12.8,0.38,0.14,0.34,13
22,1,3.1,12.8,0.38,0.14,0.23,28
22,1,0,12.8,0.74,0.24,0.31,24
22,1,3.1,12.8,0.38,0.24,0.24,29
22.7,1,8.2,12.8,0.54,0.24,0.37,18
22.7,1,8.2,12.8,0.54,0.14,0.33,15
22.7,1,3,12.8,0.54,0.24,0.28,33
17.2,1,10.8,12.8,0.74,0.24,0.47,16
26.2,1,7.4,13.36,0.4,0.26,0.32,12
26.2,1,7.4,13.36,0.4,0.26,0.3,11
26.2,1,7.4,13.36,0.4,0.26,0.34,11
26.2,1,7.4,13.36,0.4,0.26,0.36,12
26.2,1,7.4,13.36,0.56,0.14,0.34,12
26.2,1,2.6,13.36,0.56,0.14,0.32,11
20.4,1.17,13.5,9.48,0.45,0.2,0.5,11
20.4,1.17,13.5,9.48,0.45,0.49,0.51,9
20.4,1.17,13.5,9.48,0.44,0.2,0.43,12
20.4,1.17,13.5,9.48,0.44,0.49,0.46,19
17.6,1.51,4.4,9.02,0.14,0.72,0.34,36
17.5,1.51,4.5,9.02,0.14,0.72,0.37,21
19.5,1.13,4,9.02,0.17,0.72,0.4,36
17.6,1.13,4.4,9.02,0.17,0.72,0.44,15
20.4,0.9,3.8,9.02,0.18,0.72,0.41,26
20.8,0.9,3.7,9.02,0.18,0.72,0.45,13
17.9,1.51,4.4,9.02,0.14,0.2,0.44,8
19.5,1.13,4,9.02,0.17,0.2,0.49,5
21.6,0.9,3.6,9.02,0.18,0.2,0.3,4
18.1,0.9,0,9.02,0.18,0.2,0.52,8
17.6,0.9,4.4,9.02,0.18,0.2,0.51,18
16.6,0.9,10.6,9.02,0.18,0.2,0.68,10
17.6,0.9,0,9.02,0.18,0.2,0.46,6
18.2,0.9,4.3,9.02,0.18,0.2,0.55,6
16.6,0.9,4.7,9.02,0.18,0.2,0.64,4
16.7,0.75,0,9.02,0.19,0.2,0.34,13
17.3,0.75,4.5,9.02,0.19,0.2,0.58,8
17.1,0.75,10.4,9.02,0.19,0.2,0.69,7
17,0.75,4.6,9.02,0.19,0.2,0.55,6
17.6,1,0,12.86,0.62,0.05,0.2,12
17.6,1,0,12.86,0.62,0.01,0.18,8
17,1,0,12.86,0.62,0.14,0.21,10
17,1,0,12.86,0.62,0.06,0.21,10
18.8,1,2.7,12.86,0.62,0.05,0.24,8
18.8,1,1.3,12.86,0.62,0.05,0.22,6
24.3,2,1,25.71,0.97,0.05,0.17,24
24.3,0.6,1,12.86,1,0.05,0.29,4
17,2,0,18.95,0.29,0.08,0.1,77
17,2,0,18.95,0.78,0.13,0.19,65
17,2,0,18.95,0.73,0.13,0.17,47
17,2,0,18.95,1.31,0.26,0.26,62
17,2,4.4,18.95,1.31,0.26,0.27,45
17,2,8.8,18.95,1.31,0.26,0.38,51
21.4,0.95,0,14.12,0.3,0.11,0.16,14
20,0.95,0,14.12,0.3,0.18,0.17,33
12.6,0.5,0,12.27,1.57,1.57,0.19,10
12.5,0.5,0,12.27,1.57,1.57,0.2,9
14.6,0.5,0,12.27,2.79,1.57,0.18,5
13.3,0.5,0,12.27,2.79,1.57,0.23,9
17.3,0.5,0,12.27,3.17,2.79,0.18,7
13,0.5,0,12.27,3.17,2.79,0.25,11
15.4,1,6.5,10.53,0.79,0.08,0.27,11
12.7,1,0,10.53,0.79,0.13,0.33,13
15.4,1.5,0,15.79,1.32,0.12,0.29,30
12.7,0.67,7.9,10.53,1.32,0.13,0.48,19
12.7,1.5,7.9,15.79,1.32,0.07,0.29,16
15.4,1,6.5,15.79,0.79,0.12,0.34,20
15.4,0.67,0,10.53,1.32,0.08,0.37,21
12.7,1,0,15.79,0.79,0.07,0.27,18
19,1.99,6.3,10,0.72,0.28,0.2,57
21,1.99,6.3,10,0.72,0.28,0.21,43
19,1.99,12.5,10,0.33,0.28,0.18,47
21,1.99,12.5,10,0.33,0.28,0.13,30
21,1,0,9.01,0.33,0.13,0.16,19
21,1,6.3,9.01,0.33,0.3,0.26,16
21,0.78,0,7,0.33,0.3,0.19,19
21,0.78,6.3,7,0.33,0.3,0.32,21
31,3,5,18.03,0.72,0.15,0.1,67
23,3,10,18.03,0.33,0.15,0.09,107
23,3,10,18.03,0.72,0.15,0.13,77
23,3,15,18.03,0.33,0.15,0.1,77
29,4.52,10,18.03,0.33,0.3,0.05,115
23,4.52,10,18.03,0.72,0.15,0.1,107
23,4.52,15,18.03,0.33,0.15,0.08,104
21,1.99,0,10,0.33,0.28,0.08,49
21,1.99,6.3,10,0.33,0.28,0.15,49
16,1.99,6.3,10,0.59,0.28,0.2,46
16,0.78,6.3,7,0.55,0.6,0.41,19
16,1,6.3,9.01,0.55,0.6,0.36,28
16,2,0,13.99,0.72,0.15,0.17,71
16,2,0,13.99,0.87,0.2,0.23,80
16,2,6.3,13.99,0.87,0.2,0.27,77
31,1,0,12.02,0.33,0.63,0.13,41
29,1,0,12.02,0.16,0.42,0.08,61
28,1,0,12.02,0.16,0.21,0.07,68
31,1,10,12.02,0.33,0.42,0.25,32
29,1,10,12.02,0.16,0.21,0.19,33
28,1,10,12.02,0.16,0.21,0.17,42
6.1,1.57,24.5,7.59,0.77,0.17,0.4,15
6.1,1.57,32.7,7.59,0.77,0.17,0.43,19
6.1,1.57,32.7,7.59,0.77,0.13,0.42,18
6.1,1.57,24.5,7.59,0.77,0.13,0.39,19
6.1,1.57,24.5,7.59,0.23,0.39,0.36,36
6.1,1.57,32.7,7.59,0.23,0.39,0.41,58
6.1,1.57,24.5,7.59,0.3,0.39,0.36,51
6.1,1.57,32.7,7.59,0.3,0.39,0.36,35
6.1,1.57,32.7,7.59,0.23,0.39,0.38,42
6.1,1.57,24.5,7.59,0.23,0.39,0.35,43
13.1,0.89,7.6,8.42,0.79,0.13,0.34,20
13.1,0.89,0,8.42,0.79,0.13,0.28,17
13.1,0.89,11.5,8.42,0.79,0.13,0.37,17
13.1,0.89,7.6,8.42,0.79,0.13,0.25,20
19.5,0.7,5.6,7.37,0.32,0.13,0.58,17
22.3,0.7,2.2,7.37,0.32,0.13,0.5,29
13.1,0.89,7.6,8.42,0.79,0.13,0.33,19
13.1,0.89,7.6,8.42,0.79,0.13,0.32,17
13.1,0.89,7.6,8.42,0.79,0.13,0.31,16
13.1,0.89,7.6,8.42,0.79,0.13,0.29,12
24.2,1.46,3,27.14,0.33,0.36,0.14,21
24.2,1.46,0,27.14,0.33,0.36,0.12,75
24.2,1.54,0,21.05,0.24,0.26,0.08,71
24.2,2.86,0,21.05,0.15,0.26,0.03,65
24.2,1.54,0,28.57,0.33,0.36,0.11,23
12,1.01,2.5,8.42,0.53,0.29,0.26,25
12,1.01,2.5,8.42,0.53,0.33,0.23,25
